Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;592.747;	0.008226;		0.0029
2;612.181;	0.002207;		0.0224
3;1046.306;	0.002113;		0.0587
4;1087.156;	0.001956;		0.0021
5;1099.766;	0.001861;		0.0023
6;1092.332;	0.001828;		0.0241
7;1100.252;	0.001815;		0.0039
8;1120.406;	0.001813;		0.3403
9;1131.507;	0.001790;		0.0051
10;1120.726;	0.001776;		0.0113
11;1127.389;	0.001588;		0.0766
12;1153.417;	0.001529;		0.0019
13;1083.507;	0.001515;		0.0386
14;1123.895;	0.001489;		0.0171
15;1131.563;	0.001500;		0.0026
16;1085.313;	0.001508;		0.0110
17;1096.175;	0.001488;		0.0136
18;1126.385;	0.001475;		0.0147
19;1135.576;	0.001476;		0.0101
20;1117.978;	0.001503;		0.0025
21;1035.706;	0.001449;		0.0035
22;1052.324;	0.001451;		0.0041
23;1043.817;	0.001448;		0.0058
24;1032.853;	0.001449;		0.0018
25;1060.456;	0.001451;		0.0013
26;1035.926;	0.001448;		0.0024
27;1046.293;	0.001454;		0.0060
28;1067.970;	0.001439;		0.0035
29;1071.786;	0.001448;		0.0023
30;1072.987;	0.001449;		0.0013
