Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;573.986;	0.015364;		0.0061
2;578.732;	0.003769;		0.0082
3;574.836;	0.003638;		0.0690
4;576.193;	0.003510;		0.0016
5;586.512;	0.003305;		0.0180
6;581.092;	0.003265;		0.1060
7;580.779;	0.003240;		0.2338
8;573.839;	0.003212;		0.0372
9;581.695;	0.003222;		0.0076
10;580.292;	0.003172;		0.0168
11;568.752;	0.002861;		0.0757
12;574.062;	0.002812;		0.0728
13;579.552;	0.002786;		0.0150
14;577.309;	0.002750;		0.0747
15;579.986;	0.002708;		0.0021
16;576.130;	0.002666;		0.0625
17;579.402;	0.002674;		0.0184
18;576.350;	0.002678;		0.2736
19;578.849;	0.002670;		0.0438
20;580.907;	0.002587;		0.0023
21;575.329;	0.002542;		0.0246
22;580.421;	0.002536;		0.0104
23;574.571;	0.002506;		0.0081
24;575.576;	0.002511;		0.0013
25;578.010;	0.002489;		0.0078
26;578.571;	0.002491;		0.0114
27;574.553;	0.002498;		0.0040
28;579.032;	0.002468;		0.0085
29;582.766;	0.002481;		0.0071
30;578.281;	0.002470;		0.0020
