Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;0.933;	0.775644;		0.2472
2;0.742;	0.686240;		0.2438
3;0.743;	0.645662;		0.2632
4;0.740;	0.636933;		0.2554
5;0.748;	0.598957;		0.2541
6;0.752;	0.600297;		0.2484
7;0.746;	0.535360;		0.2408
8;0.760;	0.554967;		0.2333
9;0.756;	0.527516;		0.2340
10;0.742;	0.489356;		0.2311
11;0.741;	0.481642;		0.2203
12;0.746;	0.486029;		0.2191
13;0.749;	0.462304;		0.2164
14;0.739;	0.417400;		0.2145
15;0.746;	0.450038;		0.2120
16;0.739;	0.434860;		0.2105
17;0.750;	0.422436;		0.2098
18;0.744;	0.434962;		0.2093
19;0.742;	0.400576;		0.2089
20;0.746;	0.397029;		0.2079
21;0.748;	0.420430;		0.2067
22;0.747;	0.367771;		0.2063
23;0.737;	0.382264;		0.2058
24;0.747;	0.394198;		0.2060
25;0.740;	0.392674;		0.2062
26;0.749;	0.408060;		0.2057
27;0.745;	0.362335;		0.2052
28;0.744;	0.386068;		0.2048
29;0.745;	0.349692;		0.2048
30;0.750;	0.383259;		0.2043
