Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;119.234;	0.239799;		0.1111
2;117.966;	0.183985;		0.1311
3;118.134;	0.174733;		0.0934
4;118.735;	0.171294;		0.0550
5;120.274;	0.166335;		0.0806
6;119.319;	0.155454;		0.0566
7;115.530;	0.149735;		0.0975
8;116.955;	0.145085;		0.0578
9;120.172;	0.142477;		0.0462
10;117.222;	0.139796;		0.0652
11;115.183;	0.132346;		0.0529
12;117.437;	0.129779;		0.0473
13;120.948;	0.126888;		0.0472
14;119.216;	0.125832;		0.0516
15;119.636;	0.122979;		0.0542
16;117.727;	0.119400;		0.0452
17;119.657;	0.111623;		0.0465
18;120.633;	0.113751;		0.0499
19;116.708;	0.108708;		0.0547
20;117.169;	0.113687;		0.0499
