Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;115.435;	0.736330;		0.6742
2;116.878;	0.634164;		0.6444
3;116.633;	0.607919;		0.5975
4;117.447;	0.583750;		0.5980
5;116.422;	0.575891;		0.5794
6;116.823;	0.573864;		0.5895
7;114.383;	0.570159;		0.5879
8;114.229;	0.557113;		0.5802
9;117.591;	0.562243;		0.5837
10;116.997;	0.556248;		0.5696
11;117.603;	0.533779;		0.5501
12;113.799;	0.525959;		0.5546
13;115.684;	0.519297;		0.5400
14;118.824;	0.515102;		0.5471
15;114.262;	0.510376;		0.5534
16;115.046;	0.508448;		0.5356
17;113.570;	0.502419;		0.5321
18;114.289;	0.502501;		0.5317
19;115.382;	0.498360;		0.5285
20;119.504;	0.494283;		0.5311
21;117.238;	0.478354;		0.5301
22;116.009;	0.474459;		0.5228
23;114.042;	0.474114;		0.5197
24;114.752;	0.471122;		0.5213
25;115.863;	0.467500;		0.5226
26;114.109;	0.461545;		0.5166
27;114.102;	0.461791;		0.5256
28;118.496;	0.458856;		0.5178
29;116.359;	0.458340;		0.5203
30;114.364;	0.453968;		0.5261
31;113.750;	0.444445;		0.5158
32;113.785;	0.441202;		0.5112
33;115.903;	0.440162;		0.5180
34;116.744;	0.439134;		0.5486
35;126.477;	0.438437;		0.5154
36;114.139;	0.432763;		0.5170
37;116.337;	0.433394;		0.5159
38;117.561;	0.432700;		0.5118
39;125.557;	0.429964;		0.5123
40;120.785;	0.430737;		0.5155
