Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;172.163;	0.793324;		0.7945
2;172.572;	0.649677;		0.6415
3;174.533;	0.623732;		0.8381
4;172.662;	0.614569;		0.7299
5;174.643;	0.608201;		0.9585
6;174.603;	0.602608;		0.8806
7;175.158;	0.599001;		0.7008
8;174.469;	0.590846;		0.6453
9;174.268;	0.590117;		1.0261
10;174.973;	0.584595;		0.8628
11;173.377;	0.553840;		0.6968
12;172.945;	0.540231;		0.5943
13;174.239;	0.529791;		0.6033
14;176.956;	0.521099;		0.5570
15;174.213;	0.513924;		0.5570
16;176.197;	0.508051;		0.5667
17;175.124;	0.501518;		0.5517
18;173.921;	0.495414;		0.5851
19;176.623;	0.489209;		0.7172
20;174.866;	0.481836;		0.5496
