Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;161.740;	0.819032;		1.7702
2;161.404;	0.662127;		1.0285
3;161.293;	0.628717;		0.9191
4;162.495;	0.613858;		0.9046
5;160.544;	0.606839;		0.8992
6;160.840;	0.611230;		0.6214
7;160.828;	0.600576;		0.7779
8;159.685;	0.595782;		1.3066
9;160.045;	0.593744;		0.7198
10;160.287;	0.590917;		0.8113
11;159.911;	0.557125;		0.6861
12;160.369;	0.540743;		0.6681
13;160.836;	0.536778;		0.5708
14;160.908;	0.529992;		0.7583
15;160.260;	0.520719;		0.5594
16;160.176;	0.514836;		0.6251
17;161.045;	0.507454;		0.7882
18;160.784;	0.501638;		0.5845
19;160.737;	0.494029;		0.7902
20;160.626;	0.487204;		0.5797
