Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;189.441;	0.789918;		0.7343
2;186.842;	0.648057;		0.6499
3;184.542;	0.624904;		0.6295
4;165.739;	0.612716;		1.2645
5;152.902;	0.607238;		0.6780
6;152.304;	0.570032;		0.6300
7;153.859;	0.552373;		0.5726
8;152.322;	0.539021;		0.5797
9;153.301;	0.528859;		0.6323
10;153.308;	0.519153;		0.5543
11;151.457;	0.493774;		0.5469
12;152.221;	0.482984;		0.5382
13;153.238;	0.474590;		0.5376
14;175.343;	0.463656;		0.5362
15;184.969;	0.456301;		0.5420
16;184.110;	0.435281;		0.5366
17;187.628;	0.424927;		0.5363
18;183.728;	0.416742;		0.5456
19;188.415;	0.411336;		0.5466
20;182.793;	0.404530;		0.5603
