Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;182.210;	0.792090;		0.6955
2;188.308;	0.645159;		0.7240
3;236.419;	0.622167;		0.7517
4;249.834;	0.609555;		0.7172
5;257.604;	0.605367;		0.6794
6;249.932;	0.571664;		0.5783
7;257.448;	0.549200;		0.6063
8;252.738;	0.535758;		0.5439
9;251.320;	0.527422;		0.5481
10;252.314;	0.518402;		0.6095
11;251.791;	0.492550;		0.5634
12;252.005;	0.483600;		0.5458
13;255.900;	0.472159;		0.5339
14;251.563;	0.462839;		0.5463
15;256.402;	0.453779;		0.5353
16;252.787;	0.433731;		0.5333
17;254.035;	0.422544;		0.5380
18;256.335;	0.415539;		0.5451
19;254.255;	0.408465;		0.5555
20;250.859;	0.401340;		0.5415
21;249.561;	0.387695;		0.5436
22;254.800;	0.378408;		0.5465
23;252.259;	0.375757;		0.5554
24;255.324;	0.371469;		0.5570
25;256.349;	0.365773;		0.5576
26;250.441;	0.358619;		0.5612
27;254.020;	0.353802;		0.5618
28;250.005;	0.354486;		0.5591
29;258.573;	0.351061;		0.5656
30;255.451;	0.348534;		0.5646
