Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;175.338;	0.934311;		0.8874
2;176.089;	0.860146;		0.7446
3;176.827;	0.752512;		0.8162
4;175.178;	0.697679;		0.6990
5;174.712;	0.678735;		0.6907
6;176.170;	0.613997;		0.6259
7;178.111;	0.600097;		0.6055
8;178.071;	0.585575;		0.6216
9;175.377;	0.576205;		0.6146
10;179.139;	0.570664;		0.6058
11;175.108;	0.549161;		0.6034
12;174.536;	0.542965;		0.5856
13;176.951;	0.536671;		0.5891
14;178.333;	0.533230;		0.5823
15;177.695;	0.527920;		0.5878
16;179.172;	0.512666;		0.5692
17;176.455;	0.509298;		0.5696
18;176.222;	0.505565;		0.5738
19;177.126;	0.504397;		0.5690
20;176.429;	0.499991;		0.5739
21;174.440;	0.493339;		0.5680
22;176.066;	0.489268;		0.5660
23;177.282;	0.489337;		0.5739
24;175.726;	0.484803;		0.5639
25;177.228;	0.485592;		0.5685
26;172.497;	0.481395;		0.5691
27;178.260;	0.479240;		0.5665
28;175.821;	0.478142;		0.5631
29;178.264;	0.476477;		0.5728
30;174.461;	0.475617;		0.5652
