Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;139.481;	0.930075;		0.8738
2;137.511;	0.666013;		0.5971
3;139.919;	0.565093;		0.6742
4;140.735;	0.525516;		0.4971
5;139.959;	0.495060;		0.6582
6;143.249;	0.457843;		0.4497
7;138.088;	0.445368;		0.4455
8;139.755;	0.430161;		0.4628
9;140.903;	0.418273;		0.4549
10;140.480;	0.413344;		0.4592
11;139.346;	0.388706;		0.4327
12;138.476;	0.378751;		0.4427
13;137.807;	0.370092;		0.4303
14;140.159;	0.362074;		0.4595
15;137.222;	0.362783;		0.4232
16;138.619;	0.344525;		0.4231
17;138.946;	0.335392;		0.4298
18;139.700;	0.331443;		0.4126
19;140.125;	0.330957;		0.4225
20;140.489;	0.323520;		0.4221
21;137.982;	0.313849;		0.4145
22;137.968;	0.311596;		0.4146
23;140.477;	0.308914;		0.4130
24;140.538;	0.306590;		0.4129
25;139.931;	0.303185;		0.4079
26;137.858;	0.296148;		0.4088
27;138.846;	0.296810;		0.4078
28;140.112;	0.292702;		0.4077
29;140.517;	0.293090;		0.4093
30;140.313;	0.293243;		0.4078
