Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;135.707;	0.743900;		0.6047
2;134.214;	0.505072;		0.5199
3;135.929;	0.468622;		0.5133
4;136.132;	0.455965;		0.4764
5;135.815;	0.438048;		0.4670
6;134.494;	0.396107;		0.4247
7;135.811;	0.374830;		0.4346
8;135.777;	0.366982;		0.4325
9;136.124;	0.354760;		0.4044
10;136.464;	0.341568;		0.4029
11;135.557;	0.314206;		0.4094
12;133.879;	0.299692;		0.3962
13;136.141;	0.285095;		0.4159
14;136.229;	0.278185;		0.3986
15;135.466;	0.264245;		0.4044
16;134.717;	0.239319;		0.4054
17;134.054;	0.225498;		0.4120
18;136.064;	0.220359;		0.4213
19;135.544;	0.210827;		0.4106
20;135.813;	0.201381;		0.4212
21;133.130;	0.186711;		0.4165
22;134.836;	0.179073;		0.4235
23;135.911;	0.174546;		0.4302
24;137.027;	0.172362;		0.4339
25;136.341;	0.168792;		0.4324
26;134.886;	0.159280;		0.4378
27;135.541;	0.157568;		0.4376
28;136.100;	0.153952;		0.4420
29;136.306;	0.153179;		0.4388
30;135.879;	0.149436;		0.4419
