Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;150.867;	0.597176;		0.6291
2;148.054;	0.461014;		0.5724
3;150.487;	0.420231;		0.4645
4;152.129;	0.405777;		0.4181
5;149.836;	0.388096;		0.5124
6;148.431;	0.345341;		0.4034
7;151.125;	0.319083;		0.3682
8;150.570;	0.307027;		0.3736
9;151.574;	0.291332;		0.3561
10;152.220;	0.272765;		0.3658
11;150.065;	0.228315;		0.3793
12;147.678;	0.204158;		0.3720
13;150.139;	0.183752;		0.4021
14;150.602;	0.167904;		0.3990
15;150.750;	0.151814;		0.4168
16;148.995;	0.124763;		0.4000
17;149.835;	0.113868;		0.4141
18;149.755;	0.105482;		0.4152
19;149.897;	0.097267;		0.4223
20;150.092;	0.091133;		0.4267
21;147.721;	0.078304;		0.4397
22;148.888;	0.074082;		0.4382
23;151.171;	0.071256;		0.4497
24;150.048;	0.068788;		0.4527
25;153.962;	0.064179;		0.4540
26;164.286;	0.059284;		0.4557
27;147.803;	0.058798;		0.4590
28;150.534;	0.055784;		0.4650
29;155.220;	0.055618;		0.4641
30;164.319;	0.054436;		0.4682
