Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;68.627;	0.176673;		0.1618
2;68.890;	0.147711;		0.1424
3;70.611;	0.142413;		0.1422
4;69.576;	0.140926;		0.1572
5;69.803;	0.138191;		0.1468
6;69.573;	0.135634;		0.1456
7;69.354;	0.133490;		0.1387
8;70.043;	0.132004;		0.1311
9;70.599;	0.131895;		0.1373
10;69.568;	0.130143;		0.1676
11;69.774;	0.125497;		0.1336
12;69.720;	0.121104;		0.1564
13;70.822;	0.119566;		0.1355
14;70.058;	0.118848;		0.1277
15;69.684;	0.117223;		0.1231
16;69.984;	0.115465;		0.1273
17;70.106;	0.114155;		0.2270
18;69.727;	0.114106;		0.1504
19;69.874;	0.113496;		0.1242
20;69.827;	0.112665;		0.2450
21;69.738;	0.109279;		0.1152
22;69.441;	0.108005;		0.1667
23;69.274;	0.107428;		0.1156
24;69.668;	0.107064;		0.1139
25;70.906;	0.105631;		0.1244
26;69.439;	0.105688;		0.1139
27;69.405;	0.105237;		0.1234
28;69.586;	0.104797;		0.1780
29;69.485;	0.105255;		0.1326
30;70.026;	0.103641;		0.1153
