Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;562.120;	0.003606;		0.0068
2;563.021;	0.001249;		0.0038
3;570.711;	0.001190;		0.0037
4;566.504;	0.001081;		2.0574
5;570.917;	0.000997;		0.1439
6;572.501;	0.000959;		0.0039
7;563.172;	0.000963;		0.0023
8;578.415;	0.000945;		0.0236
9;570.137;	0.000994;		0.0257
10;558.029;	0.000954;		0.0233
11;554.089;	0.000811;		0.0498
12;563.894;	0.000771;		0.2723
13;567.989;	0.000764;		0.0134
14;561.688;	0.000750;		0.2247
15;554.678;	0.000740;		0.0762
16;563.454;	0.000752;		0.0058
17;563.763;	0.000745;		0.0015
18;571.675;	0.000736;		0.0226
19;570.158;	0.000741;		0.0266
20;564.608;	0.000746;		0.0111
21;566.770;	0.000732;		0.0064
22;581.075;	0.000730;		0.0137
23;566.460;	0.000725;		0.0013
24;561.199;	0.000730;		0.0089
25;554.156;	0.000726;		0.0100
26;559.600;	0.000734;		0.0080
27;566.443;	0.000731;		0.0013
28;562.063;	0.000729;		0.0015
29;562.824;	0.000728;		0.0030
30;562.761;	0.000726;		0.0024
31;564.387;	0.000724;		0.0059
32;564.859;	0.000720;		0.0013
33;551.885;	0.000717;		0.0028
34;557.636;	0.000718;		0.0036
35;561.712;	0.000720;		0.0013
36;552.133;	0.000721;		0.0031
37;552.158;	0.000718;		0.0022
38;552.793;	0.000715;		0.0023
39;567.412;	0.000722;		0.0023
40;568.612;	0.000723;		0.0075
