Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;567.333;	0.058100;		0.0023
2;568.854;	0.047801;		0.0175
3;565.618;	0.045648;		0.1486
4;565.385;	0.043773;		0.0094
5;565.391;	0.043711;		0.0021
6;564.860;	0.043235;		0.0117
7;554.976;	0.042001;		0.0930
8;567.025;	0.042522;		0.0755
9;558.999;	0.042211;		0.0327
10;560.502;	0.042429;		0.0521
11;550.872;	0.040402;		0.0443
12;566.252;	0.039421;		0.0388
13;565.586;	0.039145;		0.0036
14;550.201;	0.039077;		0.0012
15;548.210;	0.038819;		0.0764
16;554.134;	0.038733;		0.0660
17;557.147;	0.038941;		0.0188
18;563.501;	0.038944;		0.0045
19;557.266;	0.038803;		0.0160
20;556.782;	0.038871;		0.0029
21;566.306;	0.037952;		0.0047
22;571.529;	0.037865;		0.0019
23;565.369;	0.038050;		0.0103
24;566.652;	0.038161;		0.0019
25;556.355;	0.037698;		0.0023
26;569.750;	0.037713;		0.0020
27;557.630;	0.037952;		0.0012
28;567.986;	0.037939;		0.0094
29;560.502;	0.037800;		0.0153
30;557.349;	0.038009;		0.0013
31;563.059;	0.037490;		0.0013
32;560.342;	0.037389;		0.0014
33;565.262;	0.037249;		0.0011
34;569.116;	0.037364;		0.0015
35;565.131;	0.037659;		0.0013
36;566.306;	0.037537;		0.0012
37;564.166;	0.037537;		0.0011
38;552.109;	0.037466;		0.0028
39;562.091;	0.037564;		0.0014
40;565.240;	0.037476;		0.0012
