Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;562.395;	0.950391;		0.5933
2;572.412;	0.950487;		0.6072
3;562.618;	0.950421;		0.6065
4;569.433;	0.950425;		0.6014
5;572.192;	0.950304;		0.6036
6;576.432;	0.950494;		0.6094
7;577.757;	0.950406;		0.6087
8;575.331;	0.950400;		0.6045
9;577.783;	0.950348;		0.6033
10;565.389;	0.950230;		0.6031
11;575.452;	0.950400;		0.6027
12;575.823;	0.950470;		0.6084
13;569.921;	0.950487;		0.5993
14;575.861;	0.950342;		0.6138
15;564.838;	0.950444;		0.5983
16;570.706;	0.950349;		0.6063
17;571.153;	0.950571;		0.6076
18;570.538;	0.950389;		0.6074
19;576.820;	0.950361;		0.6149
20;575.133;	0.950418;		0.6035
21;578.405;	0.950443;		0.6144
22;579.706;	0.950315;		0.6062
23;562.443;	0.950296;		0.6113
24;571.594;	0.950361;		0.6138
25;571.925;	0.950386;		0.6053
26;576.925;	0.950403;		0.6008
27;562.552;	0.950257;		0.6041
28;579.361;	0.950404;		0.6086
29;578.246;	0.950437;		0.6052
30;574.107;	0.950397;		0.5952
31;580.439;	0.950281;		0.6005
32;568.294;	0.950310;		0.6090
33;567.894;	0.950338;		0.6135
34;571.925;	0.950320;		0.6121
35;576.155;	0.950372;		0.6020
36;577.979;	0.950277;		0.5955
37;578.647;	0.950392;		0.6094
38;576.491;	0.950320;		0.6095
39;574.075;	0.950302;		0.6085
40;563.656;	0.950379;		0.6088
