Epoch/Time it took (s)/Loss/Validation energy (%)/Validation distance (%)
1;575.711;	0.003430;		0.0052
2;579.444;	0.001226;		0.0146
3;572.368;	0.001182;		0.0142
4;570.155;	0.001069;		0.0942
5;570.734;	0.001018;		0.0024
6;564.968;	0.001004;		0.0060
7;560.677;	0.001007;		0.1495
8;569.993;	0.000978;		0.0225
9;565.523;	0.001003;		0.0417
10;574.897;	0.000968;		0.0034
11;571.510;	0.000811;		0.1764
12;577.323;	0.000785;		0.0196
13;575.379;	0.000771;		0.1425
14;569.397;	0.000763;		0.0242
15;569.173;	0.000760;		0.0359
16;576.182;	0.000754;		0.0162
17;568.198;	0.000750;		0.0107
18;576.707;	0.000749;		0.0180
19;569.657;	0.000741;		0.0045
20;573.664;	0.000732;		0.0016
21;573.548;	0.000724;		0.0016
22;562.589;	0.000728;		0.0013
23;571.609;	0.000723;		0.0165
24;570.444;	0.000718;		0.0013
25;574.236;	0.000723;		0.0021
26;578.364;	0.000720;		0.0050
27;574.671;	0.000724;		0.0033
28;572.458;	0.000720;		0.0062
29;572.689;	0.000720;		0.0014
30;573.495;	0.000719;		0.0105
31;567.372;	0.000714;		0.0037
32;564.673;	0.000712;		0.0017
33;558.224;	0.000713;		0.0030
34;563.458;	0.000713;		0.0029
35;572.661;	0.000706;		0.0026
36;576.989;	0.000713;		0.0021
37;571.212;	0.000710;		0.0032
38;572.531;	0.000714;		0.0029
39;571.556;	0.000709;		0.0013
40;573.523;	0.000706;		0.0039
