                 E          Z          X           Y     THETA  Label
0       763.695837  38.054035 -14.406433    3.021981  0.000307   -1.0
1      1618.297437   4.865155   0.726649   14.494217  0.000302   -1.0
2      1761.229800  40.704682   7.771661   10.284353  0.000268   -1.0
3       610.185165  39.110683  34.613976   31.489964  0.000975   -1.0
4      1969.237709   5.337714  -6.288991    6.959792  0.000196   -1.0
5       839.309074  40.572917  20.230360   29.828794  0.000751   -1.0
6       654.969902  36.858104  43.085239   25.837952  0.001046   -1.0
7       462.626125  18.858613  16.327957   46.105167  0.001019   -1.0
8      1610.817206  13.186120  -0.930476   13.830829  0.000289   -1.0
9       296.072845  18.715761  33.701183   35.093071  0.001014   -1.0
10     1485.010307  31.277127  17.787392   15.123386  0.000486   -1.0
11      402.396646   2.455940  10.106567   -1.691869  0.000214   -1.0
12     1848.035911  38.587820   6.698787    3.426443  0.000157   -1.0
13     1545.428112  48.238708  12.239721  -15.795486  0.000416   -1.0
14      673.045931   4.910046  42.179451   10.594836  0.000906   -1.0
15      323.294488   8.422101   0.912678   34.713017  0.000724   -1.0
16     1615.387878  51.073882   9.041696   38.547585  0.000824   -1.0
17     1648.499540   6.518711   5.440873    6.964950  0.000184   -1.0
18     1055.532796  35.302704  10.635497   15.501950  0.000392   -1.0
19      416.185086  15.038470  53.211742   13.076857  0.001142   -1.0
20      407.335579  20.777444   9.382844   64.355370  0.001355   -1.0
21     1222.725337  20.222511   7.558732   19.590242  0.000438   -1.0
22      133.384873  33.919736  32.514725   -0.964582  0.000678   -1.0
23      124.782427  48.004751  61.307735    1.124747  0.001277   -1.0
24      850.685667  39.916078  33.807171   13.001904  0.000754   -1.0
25     1679.949142  22.890173 -10.364256    4.033656  0.000232   -1.0
26     1211.758979  29.108867  23.479769  -13.035713  0.000559   -1.0
27      344.908951  31.543000  13.090626   29.171436  0.000666   -1.0
28     1051.879165   6.600590  24.116247   40.223091  0.000978   -1.0
29      764.670529  10.393790   6.427600   17.540960  0.000389   -1.0
30      558.673761  24.289579  19.599516  -32.846138  0.000797   -1.0
31     2030.887496  41.807131  -1.504282    9.935597  0.000209   -1.0
32     1497.217849  50.309953  14.895123   19.671167  0.000514   -1.0
33     2303.768866   1.367468   0.630078  -11.557113  0.000241   -1.0
34      449.356335  20.597737 -20.230097   18.464983  0.000571   -1.0
35     2114.060609  16.859609  -9.615621    6.467716  0.000241   -1.0
36     1055.761998  25.377569  34.788395    2.947078  0.000727   -1.0
37     2356.652430  27.002971   0.011952   13.004350  0.000271   -1.0
38      138.750980  14.283615  28.830528  -16.810211  0.000695   -1.0
39     1842.245119  39.945039   9.843467   14.602367  0.000367   -1.0
40     1155.175939  26.078786   9.742266   23.155180  0.000523   -1.0
41      629.057414  18.044496  20.762886   17.723175  0.000569   -1.0
42     1203.877625   4.054493  26.444092    1.274751  0.000552   -1.0
43      674.904939  48.328758  -7.719608   47.367538  0.000999   -1.0
44     1444.432172  23.721447 -10.425169    5.490034  0.000245   -1.0
45     1794.346074  14.773482  10.692423   28.960913  0.000643   -1.0
46       84.925948   6.231485  32.532555   23.409288  0.000835   -1.0
47      648.951154  14.812164 -16.137453    6.778932  0.000365   -1.0
48      346.436490   1.254955  26.831242    7.257935  0.000579   -1.0
49      268.753729  33.386325  49.432243   28.206867  0.001186   -1.0
50      632.255366  32.517486  20.231804    0.569793  0.000422   -1.0
51      197.127402  38.849348  73.357750  -11.387836  0.001546   -1.0
52      698.056317  20.717799  20.980999   32.410439  0.000804   -1.0
53     1455.932855  11.445581 -17.937908   -6.592854  0.000398   -1.0
54      149.279820  35.407343  24.819147    0.180468  0.000517   -1.0
55      522.195682  27.672956  16.172709   59.477242  0.001284   -1.0
56      397.755608  53.683244   6.243870   30.708679  0.000653   -1.0
57     1353.911521  39.612982   6.749653    5.420042  0.000180   -1.0
58     1534.399767  39.411508  11.574816   13.900875  0.000377   -1.0
59     2958.413176  36.019957   6.453494    9.971480  0.000247   -1.0
60      458.687769  53.123147 -25.468124   14.719033  0.000613   -1.0
61      670.487672  19.082705   8.559656   27.783569  0.000606   -1.0
62      212.415246  20.942837  52.849617   36.935478  0.001343   -1.0
63     1406.305205  24.628123   1.514393   -9.731754  0.000205   -1.0
64     2844.598177  16.206320  11.070707   18.025595  0.000441   -1.0
65      639.747406  40.761558  30.974583   24.091883  0.000817   -1.0
66      651.809293  10.801836  24.970221    1.796812  0.000522   -1.0
67      779.437298  39.897196   8.975960   22.998854  0.000514   -1.0
68     1387.938912  32.958828   6.764995   13.627260  0.000317   -1.0
69     1029.264676  43.827867  25.264112   -5.699435  0.000539   -1.0
70     2248.845535  43.300435  -0.317272   12.483144  0.000260   -1.0
71     1003.983241  15.261384  37.784039   34.810131  0.001071   -1.0
72      499.683772   7.820405  51.137379   26.656006  0.001202   -1.0
73      260.015587  46.040763  17.331533   25.548269  0.000643   -1.0
74     1398.945720  37.359698 -17.657875   15.098865  0.000484   -1.0
75      825.860816  20.386634  39.531082    2.532124  0.000825   -1.0
76     1224.958161  14.459713   8.341143  -22.529383  0.000501   -1.0
77      931.927112   1.912138 -14.137970    6.659626  0.000326   -1.0
78      467.406146  40.055915  28.749754   16.100700  0.000686   -1.0
79      981.635414  45.557169   0.029692   13.395677  0.000279   -1.0
80      546.436433  31.245913   6.040779  -15.229066  0.000341   -1.0
81     2523.167637   7.360180  15.244104    7.350593  0.000353   -1.0
82      198.928773  16.419378  18.935417   37.976135  0.000884   -1.0
83     1448.046926   3.450882  -2.158237   12.563847  0.000266   -1.0
84       80.926970   5.198942  40.335754    3.788451  0.000844   -1.0
85     1255.155123   5.071552  15.707181   -9.906325  0.000387   -1.0
86     1278.963139   5.548520   5.795921  -29.352634  0.000624   -1.0
87     2711.094342   7.696341  13.254467    0.733775  0.000277   -1.0
88      665.473493  39.982065  32.675762   -8.982074  0.000706   -1.0
89      297.748381  19.206523   5.108675   29.782639  0.000630   -1.0
90      839.864191  42.723233   6.697846   24.312159  0.000525   -1.0
91      303.117193  51.525538  52.682774    9.823344  0.001116   -1.0
92     1054.788970  16.523895  33.980682    6.285264  0.000720   -1.0
93     1415.484783   9.212143 -34.130035   41.849758  0.001126   -1.0
94      353.054397  24.866489  26.651152  -32.701370  0.000879   -1.0
95     1076.968329  29.755010  14.179134    9.222736  0.000352   -1.0
96      454.690694  15.322790  18.357620   28.208769  0.000701   -1.0
97     1540.047106  14.895980  17.579906   -4.146504  0.000376   -1.0
98      529.665348  49.745337  11.071387   21.118441  0.000497   -1.0
99      900.388983  30.936510  18.434660   17.756105  0.000533   -1.0
100    2543.255068  51.179600  -0.528737  -18.310875  0.000381   -1.0
101    1617.388308  10.681679  17.846483  -27.026175  0.000675   -1.0
102     429.806771  20.683353  27.172104   25.603548  0.000778   -1.0
103     737.729864  14.783281  42.074238   13.133459  0.000919   -1.0
104    2201.678054   3.723084   5.635772   11.232098  0.000262   -1.0
105    1281.774559  16.392324  19.220308   12.334758  0.000476   -1.0
106    1801.301905  19.837497  -3.177541   -7.405795  0.000168   -1.0
107     520.539596  27.303986  19.125076   66.001663  0.001432   -1.0
108    2298.842862  29.516546   6.945240  -11.349063  0.000277   -1.0
109    1725.226319   4.289989  11.696037   13.787929  0.000377   -1.0
110     749.331775  31.591300  11.235778   13.220904  0.000361   -1.0
111    1394.406917   6.363655  15.455361  -18.730707  0.000506   -1.0
112     642.545280  11.870571  34.912823  -42.241016  0.001142   -1.0
113     851.251612  33.032538 -26.863573   -8.781216  0.000589   -1.0
114     373.502464  14.930179   6.192102   24.730658  0.000531   -1.0
115     337.291698  50.642389  18.160263   48.219028  0.001073   -1.0
116     277.491918  11.337033  33.955357   86.828522  0.001943   -1.0
117    1455.646521  12.072009   9.505149    5.182249  0.000226   -1.0
118     854.796317  37.287782  23.271767   -8.252262  0.000514   -1.0
